Match_date,teamName,homeAway,Ball Possession,Goal Attempts,Shots On,Shots Off,Blocked Shots,Free kick,Offsides,Throw Ins,Saves,Fouls Commited,Red Cards,Yellow Cards,Assists 1st Half,Assists 2nd Half,Ball Possession 1st Half,Ball Possession 2nd Half,Blockes Shots 1st Half,Blockes Shots 2nd Half,Corners,Corners 1st Half,Corners 2nd Half,Counter Attacks,Counter Attacks 1st Half,Counter Attacks 2nd Half,Crosses,Crosses 1st Half,Crosses 2nd Half,Fouls Commited 1st Half,Fouls Commited 2nd Half,Free kick 1st Half,Free kick 2nd Half,Goal Attempts 1st Half,Goal Attempts 2nd Half,Goal Kick,Goal Kick 1st Half,Goal Kick 2nd Half,Goals 1st Half,Goals 2nd Half,Offsides 1st Half,Offsides 2nd Half,Red Cards 1st Half,Red Cards 2nd Half,Saves 1st Half,Saves 2nd Half,Shots Off 1st Half,Shots Off 2nd Half,Shots On 1st Half,Shots On 2nd Half,Substitute,Substitute 1st Half,Substitute 2nd Half,Throw Ins 1st Half,Throw Ins 2nd Half,Treatment 1st Half,Treatment 2nd Half,Yellow Cards 1st Half,Yellow Cards 2nd Half,Result
Match date: 13-11-2022 / 16:00,ASTON VILLA,2,35,7,2,3,2,17,1,22,1,11,0,7,0,1,43,35,2,0,4,3,1,1,1,0,3,3,0,4,7,7,10,4,3,8,1,7,1,1,0,1,0,0,0,1,1,2,1,1,5,0,5,11,11,1,2,1,6,W
Match date: 13-11-2022 / 18:30,FULHAM,1,52,14,7,5,2,12,1,21,7,9,0,1,0,0,52,52,0,2,10,3,7,3,1,2,28,12,16,4,5,4,8,4,10,5,2,3,0,1,1,0,0,0,3,4,2,3,2,5,2,0,2,10,11,0,0,1,0,L
Match date: 13-11-2022 / 18:30,MANCHESTER UTD,2,48,14,9,3,2,10,2,16,6,10,0,1,0,1,48,48,1,1,3,2,1,5,2,3,13,5,8,3,7,5,5,7,7,7,3,4,1,1,1,1,0,0,2,4,2,1,4,5,2,0,2,7,9,0,0,0,1,W
Match date: 26-12-2022 / 14:30,BRENTFORD,1,39,9,5,3,1,14,1,16,6,11,0,3,0,1,43,39,0,1,6,5,1,2,2,0,19,13,6,2,9,8,6,4,5,4,0,4,1,1,1,0,0,0,3,3,0,3,4,1,3,0,3,12,4,1,0,0,3,D
Match date: 26-12-2022 / 14:30,TOTTENHAM,2,61,16,8,3,5,12,4,24,3,10,0,1,0,1,57,61,3,2,5,1,4,1,1,0,28,9,19,8,2,3,9,6,10,5,2,3,0,2,0,4,0,0,3,0,0,3,3,5,2,0,2,12,12,0,1,0,1,D
Match date: 26-12-2022 / 17:00,LEICESTER,1,61,8,2,2,4,7,3,23,2,9,0,0,0,0,46,61,1,3,5,3,2,0,0,0,13,7,6,2,7,5,2,2,6,7,4,3,0,0,0,3,0,0,1,1,1,1,0,2,4,1,3,10,13,2,0,0,0,L
Match date: 26-12-2022 / 17:00,NEWCASTLE,2,39,11,5,3,3,12,1,22,2,6,0,0,2,0,54,39,2,1,5,2,3,3,3,0,7,2,5,5,1,2,10,7,4,6,2,4,3,0,0,1,0,0,0,2,1,2,4,1,4,0,4,15,7,2,3,0,0,W
Match date: 26-12-2022 / 17:00,CRYSTAL PALACE,1,37,4,0,3,1,17,1,13,8,12,2,0,0,0,45,37,0,1,1,1,0,2,1,1,6,3,3,8,4,10,7,2,2,5,2,3,0,0,1,0,1,1,1,7,2,1,0,0,5,0,5,6,7,0,0,1,0,L
Match date: 26-12-2022 / 17:00,FULHAM,2,63,23,11,6,6,13,2,19,0,15,0,0,1,0,55,63,1,5,7,3,4,1,0,1,33,10,23,8,7,9,4,5,18,3,3,0,1,2,2,0,0,0,0,0,2,4,2,9,5,0,5,8,11,0,1,0,0,W
Match date: 26-12-2022 / 17:00,EVERTON,1,59,12,5,5,2,24,1,18,2,9,0,1,1,0,59,59,0,2,2,1,1,2,0,2,16,4,12,3,6,11,13,4,8,5,3,2,1,0,1,0,0,0,1,1,0,5,4,1,4,0,4,5,13,0,3,1,0,L
Match date: 26-12-2022 / 17:00,WOLVERHAMPTON,2,41,7,4,1,2,10,2,28,4,22,0,6,1,0,41,41,1,1,2,2,0,3,1,2,8,5,3,10,12,4,6,3,4,6,1,5,1,1,1,1,0,0,3,1,0,1,2,2,5,0,5,15,13,0,2,0,6,W
Match date: 26-12-2022 / 17:00,SOUTHAMPTON,1,34,14,4,7,3,11,0,22,2,9,0,1,0,0,30,34,1,2,4,3,1,1,0,1,18,11,7,4,5,5,6,7,7,4,2,2,0,1,0,0,0,0,2,0,4,3,2,2,5,0,5,8,14,0,2,0,1,L
Match date: 26-12-2022 / 17:00,BRIGHTON,2,66,7,4,2,1,9,1,21,3,10,0,2,1,1,70,66,0,1,2,1,1,4,3,1,10,6,4,4,6,4,5,4,3,5,2,3,2,1,1,0,0,0,2,1,1,1,3,1,4,0,4,8,13,0,0,0,2,W
Match date: 26-12-2022 / 19:30,ASTON VILLA,1,47,12,6,3,3,15,3,13,6,7,0,0,0,1,39,47,0,3,0,0,0,5,2,3,26,6,20,5,2,10,5,4,8,12,6,6,0,1,1,2,0,0,4,2,1,2,3,3,3,0,3,7,6,1,2,0,0,L
Match date: 26-12-2022 / 19:30,LIVERPOOL,2,53,16,9,6,1,10,3,15,5,12,0,0,2,0,61,53,0,1,6,3,3,13,7,6,26,16,10,7,5,6,4,8,8,3,0,3,2,1,3,0,0,0,3,2,2,4,6,3,5,0,5,8,7,0,0,0,0,W
Match date: 26-12-2022 / 22:00,ARSENAL,1,68,16,5,6,5,16,3,9,3,14,0,0,0,3,72,68,3,2,7,2,5,2,2,0,23,14,9,5,9,9,7,6,10,5,2,3,0,3,2,1,0,0,1,2,2,4,1,4,3,0,3,7,2,0,0,0,0,W
Match date: 26-12-2022 / 22:00,WEST HAM,2,32,8,4,4,0,17,0,15,2,16,0,2,0,0,28,32,0,0,5,2,3,0,0,0,12,7,5,9,7,7,10,3,5,7,4,3,1,0,0,0,0,0,1,1,1,3,2,2,2,0,2,6,9,0,0,2,0,L
Match date: 27-12-2022 / 19:30,CHELSEA,1,62,15,5,6,4,11,3,11,4,8,0,0,2,0,68,62,1,3,6,3,3,1,0,1,19,11,8,6,2,7,4,7,8,4,1,3,2,0,2,1,0,0,1,3,2,4,4,1,4,0,4,5,6,2,3,0,0,W
Match date: 27-12-2022 / 19:30,BOURNEMOUTH,2,38,9,4,4,1,11,1,13,3,10,0,0,0,0,32,38,0,1,8,3,5,0,0,0,19,6,13,6,4,8,3,1,8,9,3,6,0,0,1,0,0,0,2,1,0,4,1,3,3,0,3,4,9,1,0,0,0,L
