homeAway,Ball_Possession_1st_Half,Corners_1st_Half,Fouls_Commited_1st_Half,Goals_1st_Half,Red_Cards_1st_Half,Shots_On_1st_Half,Yellow_Cards_1st_Half,Result,Shots_1st_Half
0,-0.010000000000000009,1.0,6.0,0.0,0.0,2.0,0.0,0,3.0
1,0.050000000000000044,3.0,3.0,2.0,0.0,2.0,0.0,1,3.0
0,-0.04999999999999999,1.0,7.0,0.0,0.0,0.0,1.0,0,2.0
1,-0.03999999999999998,1.0,3.0,0.0,0.0,1.0,0.0,0,3.0
0,0.040000000000000036,3.0,5.0,0.0,0.0,4.0,1.0,0,7.0
1,0.14,4.0,5.0,0.0,0.0,4.0,1.0,0,7.0
0,-0.14,1.0,8.0,2.0,0.0,2.0,0.0,1,2.0
1,-0.10999999999999999,6.0,3.0,0.0,0.0,1.0,0.0,0,1.0
0,0.10999999999999999,2.0,5.0,1.0,0.0,3.0,1.0,0,5.0
1,0.010000000000000009,5.0,4.0,3.0,0.0,8.0,1.0,1,11.0
0,-0.010000000000000009,3.0,5.0,0.0,0.0,1.0,0.0,0,3.0
1,0.06999999999999995,1.0,8.0,1.0,0.0,1.0,1.0,0,2.0
0,-0.07,3.0,4.0,1.0,0.0,2.0,0.0,1,2.0
1,-0.010000000000000009,1.0,4.0,0.0,0.0,3.0,1.0,0,6.0
0,0.010000000000000009,3.0,1.0,2.0,0.0,3.0,0.0,1,4.0
1,0.10999999999999999,4.0,2.0,1.0,0.0,2.0,0.0,1,7.0
0,-0.10999999999999999,0.0,4.0,0.0,0.0,2.0,0.0,0,3.0
1,-0.15999999999999998,1.0,0.0,0.0,0.0,1.0,0.0,0,2.0
0,0.16000000000000003,9.0,3.0,0.0,0.0,4.0,0.0,1,8.0
1,-0.13,2.0,4.0,1.0,0.0,2.0,0.0,0,3.0
0,0.13,7.0,2.0,0.0,0.0,2.0,0.0,1,4.0
1,0.020000000000000018,7.0,4.0,3.0,0.0,4.0,0.0,1,8.0
0,-0.020000000000000018,4.0,3.0,0.0,0.0,4.0,1.0,0,5.0
1,0.0,6.0,6.0,1.0,0.0,3.0,1.0,1,6.0
0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,0,2.0
1,0.07999999999999996,0.0,3.0,0.0,0.0,0.0,0.0,0,2.0
0,-0.08000000000000002,3.0,6.0,0.0,0.0,0.0,2.0,0,5.0
1,0.07999999999999996,0.0,8.0,1.0,0.0,3.0,0.0,1,5.0
0,-0.08000000000000002,0.0,7.0,0.0,0.0,0.0,1.0,0,0.0
1,0.050000000000000044,7.0,4.0,0.0,0.0,4.0,1.0,0,8.0
0,-0.04999999999999999,4.0,4.0,0.0,0.0,4.0,0.0,0,6.0
1,0.18999999999999995,7.0,6.0,1.0,0.0,3.0,0.0,0,6.0
